date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:21	67359/67359	---M--	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/index.html	(from )
15:46:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Jun%202023%2008:46:22%20GMT	https://www.nisasaribakery.com/robots.txt		(from )
15:46:33	1894557/1894557	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2270fbcf73568353a1fc14693fa0f188b7%22	https://cdn.landbot.io/landbot-3/landbot-3.0.0.js	C:/xampp/htdocs/toko%20roti/cdn.landbot.io/landbot-3/landbot-3.0.0.js	(from https://www.nisasaribakery.com/)
15:46:34	18445/18445	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/logocake.png	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/logocake.png	(from https://www.nisasaribakery.com/)
15:46:35	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%2263e2af34-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.3.0/css/all.min.css	C:/xampp/htdocs/toko%20roti/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.3.0/css/all.min.css	(from https://www.nisasaribakery.com/)
15:46:35	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/xampp/htdocs/toko%20roti/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://www.nisasaribakery.com/)
15:46:35	16964/16964	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/lib/animate/animate.min.css	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/lib/animate/animate.min.css	(from https://www.nisasaribakery.com/)
15:46:35	2936/2936	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/lib/owlcarousel/assets/owl.carousel.min.css	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/lib/owlcarousel/assets/owl.carousel.min.css	(from https://www.nisasaribakery.com/)
15:46:36	203565/203565	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/css/bootstrap.min.css	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/css/bootstrap.min.css	(from https://www.nisasaribakery.com/)
15:46:36	8911/8911	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/css/style.css	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/css/style.css	(from https://www.nisasaribakery.com/)
15:46:36	67359/67359	---M--	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/index.html	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/index-2.html	(from https://www.nisasaribakery.com/)
15:46:37	122835/122835	---M--	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/varian.html	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/varian.html	(from https://www.nisasaribakery.com/)
15:46:37	22052/22052	---M--	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/about.html	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/about.html	(from https://www.nisasaribakery.com/)
15:46:37	20169/20169	---M--	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/contact.html	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/contact.html	(from https://www.nisasaribakery.com/)
15:46:38	751610/751610	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/2022-04-10.jpg	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/2022-04-10.jpg	(from https://www.nisasaribakery.com/)
15:46:38	571398/571398	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/toko.jpg	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/toko.jpg	(from https://www.nisasaribakery.com/)
15:46:38	122843/122843	---M--	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/varian-kue-kering.html	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/varian-kue-kering.html	(from https://www.nisasaribakery.com/)
15:46:38	25894/25894	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/cheesecake.png	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/cheesecake.png	(from https://www.nisasaribakery.com/)
15:46:38	133847/133847	---M--	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/varian-kue-basah.html	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/varian-kue-basah.html	(from https://www.nisasaribakery.com/)
15:46:39	12657/12657	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/bread.png	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/bread.png	(from https://www.nisasaribakery.com/)
15:46:39	133868/133868	---M--	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/varian-roti-kering.html	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/varian-roti-kering.html	(from https://www.nisasaribakery.com/)
15:46:39	14047/14047	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/baguette.png	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/baguette.png	(from https://www.nisasaribakery.com/)
15:46:39	133885/133885	---M--	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/varian-bolu-bulat.html	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/varian-bolu-bulat.html	(from https://www.nisasaribakery.com/)
15:46:40	133846/133846	---M--	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/varian-chocochips.html	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/varian-chocochips.html	(from https://www.nisasaribakery.com/)
15:46:40	19481/19481	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/cookies.png	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/cookies.png	(from https://www.nisasaribakery.com/)
15:46:40	133889/133889	---M--	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/varian-brownies.html	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/varian-brownies.html	(from https://www.nisasaribakery.com/)
15:46:40	19786/19786	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/toples.png	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/toples.png	(from https://www.nisasaribakery.com/)
15:46:41	133866/133866	---M--	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/varian-ultah.html	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/varian-ultah.html	(from https://www.nisasaribakery.com/)
15:46:41	20580/20580	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/cake.png	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/cake.png	(from https://www.nisasaribakery.com/)
15:46:41	122901/122901	---M--	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/varian-lebaran.html	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/varian-lebaran.html	(from https://www.nisasaribakery.com/)
15:46:41	21477/21477	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/croissant.png	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/croissant.png	(from https://www.nisasaribakery.com/)
15:46:41	111735/111735	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/WEB%20NISA%20SARI.png	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/WEB%20NISA%20SARI.png	(from https://www.nisasaribakery.com/)
15:46:42	620905/620905	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/kastengel.jpg	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/kastengel.jpg	(from https://www.nisasaribakery.com/)
15:46:42	225264/225264	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/pounch.jpg	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/pounch.jpg	(from https://www.nisasaribakery.com/)
15:46:42	152978/152978	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/lapis%20sby.png	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/lapis%20sby.png	(from https://www.nisasaribakery.com/)
15:46:42	642355/642355	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/aneka.jpg	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/aneka.jpg	(from https://www.nisasaribakery.com/)
15:46:43	759837/759837	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/brownies%20mesis.jpg	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/brownies%20mesis.jpg	(from https://www.nisasaribakery.com/)
15:46:43	528196/528196	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/cake%20roll.jpg	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/cake%20roll.jpg	(from https://www.nisasaribakery.com/)
15:46:43	149706/149706	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/ultah%20pony.jpeg	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/ultah%20pony.jpg	(from https://www.nisasaribakery.com/)
15:46:44	591674/591674	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/lapis.jpg	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/lapis.jpg	(from https://www.nisasaribakery.com/)
15:46:44	474940/474940	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Mar%202023%2003:57:10%20GMT	https://www.nisasaribakery.com/images/kue%20karakter.jpg	C:/xampp/htdocs/toko%20roti/www.nisasaribakery.com/images/kue%20karakter.jpg	(from https://www.nisasaribakery.com/)
